property_id	property_name	source	snapshot	as_of_date	year	month	status	level	metric	value
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jul	Tentative	My Hotel	ADR	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jul	Tentative	My Hotel	REV	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jul	Tentative	My Hotel	BKGS	
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Aug	Tentative	My Hotel	RN	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Aug	Tentative	My Hotel	ADR	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Aug	Tentative	My Hotel	REV	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Aug	Tentative	My Hotel	BKGS	
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Sep	Tentative	My Hotel	RN	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Sep	Tentative	My Hotel	ADR	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Sep	Tentative	My Hotel	REV	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Sep	Tentative	My Hotel	BKGS	
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Oct	Tentative	My Hotel	RN	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Oct	Tentative	My Hotel	ADR	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Oct	Tentative	My Hotel	REV	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Oct	Tentative	My Hotel	BKGS	
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Nov	Tentative	My Hotel	RN	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Nov	Tentative	My Hotel	ADR	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Nov	Tentative	My Hotel	REV	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Nov	Tentative	My Hotel	BKGS	
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Dec	Tentative	My Hotel	RN	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Dec	Tentative	My Hotel	ADR	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Dec	Tentative	My Hotel	REV	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Dec	Tentative	My Hotel	BKGS	
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jan	Definite	My Hotel	RN	0
WACR-PC	Waldorf Astoria Costa Rica Punta Cacique	Hotel	Snap-Ene	2026-01-14	2026	Jan	Definite	My Hotel	ADR	0
